brand_hybrid,farm,state,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean,six_clusters,six_clus_recoded
Beck-XL 6365AMX䋢*,"Urbana, Illinois",,275.0958,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,1,6
Beck-XL 6365AMX䋢*,"Goodfield, Illinois",,280.0428,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,1,6
Burrus-6T54 3000GT,"St.Peter, Illinois",,182.5723,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,1,6
Burrus-6T54 3000GT,"DeKalb, Illinois",,219.7663,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,1,6
Burrus-6T54 3000GT,"Mt.Morris, Illinois",,236.1038,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,1,6
Burrus-6T54 3000GT,"Perry, Illinois",,237.0389,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,1,6
Burrus-6T54 3000GT,"Monmouth, Illinois",,243.1357,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Burrus-6T54 3000GT,"Belleville, Illinois",,244.9105,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,2,5
Burrus-6T54 3000GT,"Urbana, Illinois",,255.7221,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Burrus-6T54 3000GT,"Dwight, Illinois",,256.9834,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Burrus-6T54 3000GT,"Erie, Illinois",,265.6161,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Burrus-6T54 3000GT,"Goodfield, Illinois",,270.1537,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
DEKALB-DKC53-78 SSRIB,"Hays, Kansas",,97.3217933,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628,1,6
DEKALB-DKC53-78 SSRIB,"Assaria, Kansas",,121.134757,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,1,6
DEKALB-DKC53-78 SSRIB,"Manhattan, Kansas",,142.873282,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,1,6
DEKALB-DKC53-78 SSRIB,"Hutchinson, Kansas",,150.045237,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,1,6
DEKALB-DKC53-78 SSRIB,"Belleville, Kansas",,155.009893,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,1,6
DEKALB-DKC53-78 SSRIB,"Manhattan, Kansas",,157.411102,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,1,6
DEKALB-DKC53-78 SSRIB,"Scandia, Kansas",,170.675262,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,2,5
DEKALB-DKC53-78 SSRIB,"Macksville, Kansas",,171.140078,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061,2,5
DEKALB-DKC53-78 SSRIB,"Ottawa, Kansas",,171.343578,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,3,3
DEKALB-DKC53-78 SSRIB,"Rossville, Kansas",,174.110886,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,3,3
DEKALB-DKC53-78 SSRIB,"Parsons, Kansas",,174.388781,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,4,4
DEKALB-DKC53-78 SSRIB,"Garden City, Kansas",,180.95,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061,4,4
DEKALB-DKC53-78 SSRIB,"Ottawa, Kansas",,181.570527,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,4,4
DEKALB-DKC53-78 SSRIB,"Onaga, Kansas",,183.893253,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,4,4
DEKALB-DKC53-78 SSRIB,"Severance, Kansas",,185.1524,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,4,4
DEKALB-DKC53-78 SSRIB,"Tribune, Kansas",,202.323195,293.792531,-0.0162913,86455.856,53.6372283,-0.1442907,1.38791047,4,4
DEKALB-DKC53-78 SSRIB,"Erie, Kansas",,207.036545,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,2,5
DEKALB-DKC53-78 SSRIB,"Inman, Kansas",,207.252855,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,2,5
DEKALB-DKC53-78 SSRIB,"Topeka, Kansas",,228.65199,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,2,5
DEKALB-DKC53-78 SSRIB,"Colby, Kansas",,286.738935,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628,2,5
MAT CHECK-LATE,"Hays, Kansas",,79.172724,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628,2,5
MAT CHECK-LATE,"Assaria, Kansas",,86.7546356,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,2,5
MAT CHECK-LATE,"Belleville, Kansas",,126.740005,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,2,5
MAT CHECK-LATE,"Hutchinson, Kansas",,136.308188,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,2,5
MAT CHECK-LATE,"Manhattan, Kansas",,151.533731,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,2,5
MAT CHECK-LATE,"Manhatttan, Kansas",,167.935675,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,2,5
MAT CHECK-LATE,"Ottawa, Kansas",,174.239668,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,2,5
MAT CHECK-LATE,"Ottawa, Kansas",,174.316615,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,2,5
MAT CHECK-LATE,"Parsons, Kansas",,185.979958,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,2,5
MAT CHECK-LATE,"Inman, Kansas",,195.395214,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074,2,5
MAT CHECK-LATE,"Rossville, Kansas",,201.770261,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,4,4
MAT CHECK-LATE,"Onaga, Kansas",,208.388235,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,4,4
MAT CHECK-LATE,"Scandia, Kansas",,213.914126,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588,3,3
MAT CHECK-LATE,"Garden City, Kansas",,233.0957,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061,3,3
MAT CHECK-LATE,"Macksville, Kansas",,236.184585,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061,3,3
MAT CHECK-LATE,"Tribune, Kansas",,247.050881,293.792531,-0.0162913,86455.856,53.6372283,-0.1442907,1.38791047,3,3
MAT CHECK-LATE,"Severance, Kansas",,250.636925,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,3,3
MAT CHECK-LATE,"Erie, Kansas",,266.332701,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,3,3
MAT CHECK-LATE,"Colby, Kansas",,267.597063,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628,5,1
MAT CHECK-LATE,"Topeka, Kansas",,279.985129,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,5,1
Power Plus-5C17 AMXT,"St.Peter, Illinois",,205.4601,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,3,3
Power Plus-5C17 AMXT,"Belleville, Illinois",,245.1417,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,3,3
Power Plus-5C17 AMXT,"Monmouth, Illinois",,248.1302,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,6,2
Power Plus-5C17 AMXT,"Perry, Illinois",,251.6507,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,6,2
